oa11,Final_Rurality,FundingStreamEligibilty
E00000001,Urban,UCEF
E00000003,Urban,UCEF
E00000005,Urban,UCEF
E00000007,Urban,UCEF
E00000010,Urban,UCEF
E00000012,Urban,UCEF
E00000013,Urban,UCEF
E00000014,Urban,UCEF
E00000016,Urban,UCEF
E00000017,Urban,UCEF
E00000018,Urban,UCEF
E00000019,Urban,UCEF
E00000020,Urban,UCEF
E00000021,Urban,UCEF
E00000022,Urban,UCEF
E00000023,Urban,UCEF
E00000024,Urban,UCEF
E00000025,Urban,UCEF
E00000026,Urban,UCEF
E00000027,Urban,UCEF
E00000028,Urban,UCEF
E00000029,Urban,UCEF
E00000030,Urban,UCEF
E00000031,Urban,UCEF
E00000032,Urban,UCEF
E00000035,Urban,UCEF
E00000037,Urban,UCEF
E00000038,Urban,UCEF
E00000039,Urban,UCEF
E00000040,Urban,UCEF
E00000041,Urban,UCEF
E00000042,Urban,UCEF
E00000043,Urban,UCEF
E00000045,Urban,UCEF
E00000046,Urban,UCEF
E00000048,Urban,UCEF
E00000049,Urban,UCEF
E00000050,Urban,UCEF
E00000051,Urban,UCEF
E00000052,Urban,UCEF
E00000053,Urban,UCEF
E00000054,Urban,UCEF
E00000055,Urban,UCEF
E00000056,Urban,UCEF
E00000057,Urban,UCEF
E00000059,Urban,UCEF
E00000060,Urban,UCEF
E00000061,Urban,UCEF
E00000062,Urban,UCEF
E00000063,Urban,UCEF
E00000064,Urban,UCEF
E00000065,Urban,UCEF
E00000066,Urban,UCEF
E00000067,Urban,UCEF
E00000068,Urban,UCEF
E00000069,Urban,UCEF
E00000070,Urban,UCEF
E00000071,Urban,UCEF
E00000072,Urban,UCEF
E00000073,Urban,UCEF
E00000074,Urban,UCEF
E00000075,Urban,UCEF
E00000076,Urban,UCEF
E00000077,Urban,UCEF
E00000078,Urban,UCEF
E00000079,Urban,UCEF
E00000080,Urban,UCEF
E00000081,Urban,UCEF
E00000082,Urban,UCEF
E00000083,Urban,UCEF
E00000084,Urban,UCEF
E00000085,Urban,UCEF
E00000086,Urban,UCEF
E00000087,Urban,UCEF
E00000088,Urban,UCEF
E00000089,Urban,UCEF
E00000090,Urban,UCEF
E00000091,Urban,UCEF
E00000092,Urban,UCEF
E00000093,Urban,UCEF
E00000094,Urban,UCEF
E00000095,Urban,UCEF
E00000096,Urban,UCEF
E00000097,Urban,UCEF
E00000098,Urban,UCEF
E00000099,Urban,UCEF
E00000100,Urban,UCEF
E00000101,Urban,UCEF
E00000102,Urban,UCEF
E00000103,Urban,UCEF
E00000104,Urban,UCEF
E00000106,Urban,UCEF
E00000107,Urban,UCEF
E00000108,Urban,UCEF
E00000109,Urban,UCEF
E00000110,Urban,UCEF
E00000111,Urban,UCEF
E00000112,Urban,UCEF
E00000113,Urban,UCEF
E00000114,Urban,UCEF
E00000115,Urban,UCEF
E00000116,Urban,UCEF
E00000117,Urban,UCEF
E00000118,Urban,UCEF
E00000119,Urban,UCEF
E00000120,Urban,UCEF
E00000121,Urban,UCEF
E00000122,Urban,UCEF
E00000123,Urban,UCEF
E00000124,Urban,UCEF
E00000125,Urban,UCEF
E00000126,Urban,UCEF
E00000127,Urban,UCEF
E00000128,Urban,UCEF
E00000129,Urban,UCEF
E00000130,Urban,UCEF
E00000131,Urban,UCEF
E00000132,Urban,UCEF
E00000133,Urban,UCEF
E00000134,Urban,UCEF
E00000135,Urban,UCEF
E00000136,Urban,UCEF
E00000137,Urban,UCEF
E00000138,Urban,UCEF
E00000139,Urban,UCEF
E00000140,Urban,UCEF
E00000141,Urban,UCEF
E00000142,Urban,UCEF
E00000143,Urban,UCEF
E00000144,Urban,UCEF
E00000145,Urban,UCEF
E00000146,Urban,UCEF
E00000147,Urban,UCEF
E00000148,Urban,UCEF
E00000149,Urban,UCEF
E00000150,Urban,UCEF
E00000151,Urban,UCEF
E00000152,Urban,UCEF
E00000153,Urban,UCEF
E00000154,Urban,UCEF
E00000155,Urban,UCEF
E00000156,Urban,UCEF
E00000157,Urban,UCEF
E00000158,Urban,UCEF
E00000159,Urban,UCEF
E00000160,Urban,UCEF
E00000161,Urban,UCEF
E00000162,Urban,UCEF
E00000163,Urban,UCEF
E00000164,Urban,UCEF
E00000165,Urban,UCEF
E00000166,Urban,UCEF
E00000167,Urban,UCEF
E00000168,Urban,UCEF
E00000169,Urban,UCEF
E00000170,Urban,UCEF
E00000171,Urban,UCEF
E00000172,Urban,UCEF
E00000173,Urban,UCEF
E00000174,Urban,UCEF
E00000175,Urban,UCEF
E00000176,Urban,UCEF
E00000177,Urban,UCEF
E00000178,Urban,UCEF
E00000179,Urban,UCEF
E00000180,Urban,UCEF
E00000181,Urban,UCEF
E00000182,Urban,UCEF
E00000183,Urban,UCEF
E00000184,Urban,UCEF
E00000185,Urban,UCEF
E00000186,Urban,UCEF
E00000187,Urban,UCEF
E00000188,Urban,UCEF
E00000189,Urban,UCEF
E00000190,Urban,UCEF
E00000191,Urban,UCEF
E00000192,Urban,UCEF
E00000193,Urban,UCEF
E00000194,Urban,UCEF
E00000195,Urban,UCEF
E00000196,Urban,UCEF
E00000197,Urban,UCEF
E00000198,Urban,UCEF
E00000199,Urban,UCEF
E00000200,Urban,UCEF
E00000201,Urban,UCEF
E00000202,Urban,UCEF
E00000203,Urban,UCEF
E00000204,Urban,UCEF
E00000205,Urban,UCEF
E00000206,Urban,UCEF
E00000207,Urban,UCEF
E00000208,Urban,UCEF
E00000209,Urban,UCEF
E00000210,Urban,UCEF
E00000211,Urban,UCEF
E00000212,Urban,UCEF
E00000213,Urban,UCEF
E00000214,Urban,UCEF
E00000215,Urban,UCEF
E00000216,Urban,UCEF
E00000217,Urban,UCEF
E00000218,Urban,UCEF
E00000219,Urban,UCEF
E00000220,Urban,UCEF
E00000221,Urban,UCEF
E00000222,Urban,UCEF
E00000223,Urban,UCEF
E00000224,Urban,UCEF
E00000225,Urban,UCEF
E00000226,Urban,UCEF
E00000227,Urban,UCEF
E00000228,Urban,UCEF
E00000229,Urban,UCEF
E00000230,Urban,UCEF
E00000231,Urban,UCEF
E00000232,Urban,UCEF
E00000234,Urban,UCEF
E00000235,Urban,UCEF
E00000236,Urban,UCEF
E00000237,Urban,UCEF
E00000238,Urban,UCEF
E00000239,Urban,UCEF
E00000240,Urban,UCEF
E00000241,Urban,UCEF
E00000242,Urban,UCEF
E00000243,Urban,UCEF
E00000244,Urban,UCEF
E00000245,Urban,UCEF
E00000246,Urban,UCEF
E00000247,Urban,UCEF
